"store";"websites";"attribute_set";"type";"category_ids";"sku";"has_options";"name";"image";"small_image";"thumbnail";"url_key";"options_container";"price";"weight";"status";"visibility";"tax_class_id";"description";"short_description";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites"
"default";"base";"Default";"simple";"2,58,59";"SKU10001_1";"1";"Mink Mix lashes-16lines-1";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-1";"Block after Info Column";"17.0000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-1";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,59";"SKU10001_2";"1";"Mink Mix lashes-16lines-2";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-2";"Block after Info Column";"17.0000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-2";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,59";"SKU10001_3";"1";"Mink Mix lashes-16lines-3";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-3";"Block after Info Column";"17.0000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-3";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,59";"SKU10001_4";"1";"Mink Mix lashes-16lines-4";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-4";"Block after Info Column";"17.5000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-4";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,59";"SKU10001_5";"1";"Mink Mix lashes-16lines-5";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-5";"Block after Info Column";"18.5000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-5";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,60";"SKU10001_6";"1";"Mink Mix lashes-16lines-6";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-6";"Block after Info Column";"19.5000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-6";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,60";"SKU10001_7";"1";"Mink Mix lashes-16lines-7";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-7";"Block after Info Column";"20.5000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-7";"1";"simple";"";""
"default";"base";"Default";"simple";"2,58,60";"SKU10001_8";"1";"Mink Mix lashes-16lines-8";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"/v/o/volume-lashes.jpg";"mink-mix-lashes-16lines-8";"Block after Info Column";"21.5000";"1.0000";"Enabled";"Not Visible Individually";"Taxable Goods";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"<p>Maailman ensimmäiset laser menetelmällä tehdyt minkkiripset. Ne pysyvät huomattavasti pidempään kuin klassiset ripset. Niiden salaisuus on laser menetelmällä tehdyt mikroskooppiset urat vaaka- ja pystysuunnassa. Tämän ansiosta kiinnityksen pinta-alaa saadaan suuremmaksi, jolloin niiden pysyvyys on merkittävästi parempi. Lisäksi laser lash ripset ovat upeammat ja pehmeämmät, sekä kevyemmät.</p><p>Miksi vaihtaa laser lash ripsiin?- Loistavan kiinnityksen myötä teet asiakkaalle ripset nopeammin ja helpommin<br />- Kiinnittyy ja pysyy asiakkaan luonnollisissa ripsissä huomattavasti pidempään (1.5 kertaa kauemmin)<br />- Niiden ulkonäkö takaa varmasti tyytyväisen asiakkaan<br />- Upeat ripset markkinoivat palvelujasi tehokkaimmin, jonka myötä asiakasmääräsi varmasti kasvavat<br />- Nostat ripsienpidennyspalveluitesi laatua uudelle tasolle</p>";"1000.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mink Mix lashes-16lines-8";"1";"simple";"";""
